,url,name,price,color,description,composition,sku
32,tienda4sale-1/baby-boy-0-24-sale/blue-wool-sweater-with-castle.html,Blue wool sweater with castle,€62.50,ocean blue/cloud,"Cute 100% superfine merino wool ocean blue crew neck sweater, with handmade embroidery depicting a castle in the shades of grey. The contrasting sleeve characterises the garment.",100% WIRGIN WOOL fabric -,Code                        A20MA338EM220_4807
33,tienda4sale-1/baby-boy-0-24-sale/fleece-and-plush-jacket.html,Fleece and plush jacket,€91.00,iron grey,Warm and soft iron grey fleece baby boy jacket with central zip closure. The hood and patch pockets are enriched with soft milk-coloured teddy fabric. It is a wrap-around garment perfect for the coldest days of the winter season.,30% VISCOSE / RAYON fabric - 70% POLYESTER fabric  - 100% POLYESTER details  - 100% POLYESTER padding - 42% VISCOSE / RAYON sleeve lining  -  58% ACETATE sleeve lining - 100% COTTON lining -,Code                        A20GM331M0079_081
34,tienda4sale-1/baby-boy-0-24-sale/taffeta-and-fur-down-jacket.html,Taffeta and fur down jacket,€195.00,military,"Warm military green taffeta quilted jacket with hood edged of Finn Raccon fur removable thanks to snap buttons. Front zip closure, pocket with flap and double snap button, pockets with zip and contrasting logo on the sleeve. Garment lined with cotton. The quality, the high performance and the comfort of the garment are guaranteed by a composition of 90% down and 10% soft feathers. Class 1 down jacket, made with new, not regenerated feather. Garment for newborns and children that can be combined with the feather taffeta overalls.",100% POLYESTER internal fabric -  100%  POLYAMIDE / NYLON external fabric - 100% FINRACOON / NYCTEREUTES PROCYONOIDES fur - 10% FEATHER padding - 90% DOWNS padding - 100% POLYAMIDE / NYLON sleeve lining - 100% COTTON lining -,Code                        A20GM327N0031_549
35,tienda4sale-1/baby-boy-0-24-sale/tartan-newborn-boy-shirt.html,Tartan newborn boy shirt,€39.00,ocean blue,"100% cotton twill long-sleeved shirt with yarn-dyed tartan pattern in the shades of green, blue and red with a classic cut with front closure and logo buttons. Regular fit.",100% COTTON fabric,Code                        A20CL116C3119_487
36,tienda4sale-1/baby-boy-0-24-sale/blue-two-piece-suit.html,Blue two-piece suit,€68.00,navy blue/ flame red,"100% cotton fleece blue set composed of comfortable zipped sweater with hood and matched trousers. The hood lining, the patches on the sleeves and the drawstring waist of the trousers are made of red and blue tartan techno wool fabric.",100% COTTON fabric - 29% VISCOSE / RAYON details  - 69% POLYESTER details  -  2% ELASTAM / SPANDEX details -,Code                        A20DP300M0099_4937
37,tienda4sale-1/baby-boy-0-24-sale/checked-newborn-boy-shirt.html,Checked newborn boy shirt,€43.00,burgundy,"100% cotton flannel long-sleeved baby shirt with burgundy and grey checks, classic cut with front closure and logo buttons. Regular fit.",100% COTTON fabric,Code                        A20CL116C3120_397
38,tienda4sale-1/baby-boy-0-24-sale/hounds-tooth-fleece-blazer.html,Hounds-tooth fleece blazer,€65.00,cloud,Elegant soft 100% cotton knitted fabric cloud grey hounds tooth baby boy blazer with logo buttons closure and patch pockets. The jacket is ideal for a ceremony to be combined with trousers of the same fabric.,100% COTTON fabric,Code                        A20BF033M5034_072
39,tienda4sale-1/baby-boy-0-24-sale/hat-with-ear-flaps.html,Hat with ear flaps,€40.50,cloud,Nice 100% superfine merino wool melange grey knitted hat with chain stitch processing. Self-tie chin strap with delicate braids tuft at the bottom always made of soft wool.,100% WIRGIN WOOL fabric -,Code                        A20EO189EM220_072
40,tienda4sale-1/boy-2-14-sale/military-green-down-vest.html,Military green down vest,€136.50,military/deep blue,"Military green sleeveless down proof nylon down jacket with techno-details of tone on tone Sensitive® Fabrics on the entire front surface, wrap-around hood, side pockets and contrasting blue zip. Designed to ensure total comfort and maximum warmth. Soft and light, the padding is made up of 90% down and 10% soft feathers: the ideal composition ratio to respond to the highest quality. Class 1 down jacket, made with new, not regenerated feather. Tight fit.",100% POLYAMIDE/NYLON fabric - 100% POLYAMIDE / NYLON internal fabric -  100%  POLYAMIDE / NYLON front fabric -  73% ELASTAM / SPANDEX front fabric - 27% FEATHER padding -  10% DOWNS  padding- 90% POLYAMIDE / NYLON lining -,Code                        A20GT028N0068_5449
41,tienda4sale-1/boy-2-14-sale/blue-cotton-sweater-with-striped-collar.html,Blue cotton sweater with striped collar,€86.00,blue/burgundy,"Refined blue organic cotton cardigan with burgundy striped shawl collar, button closure. Easily combinable with different looks. Regular fit.",100% COTTON fabric,Code                        A20GF346EM103_4939
42,tienda4sale-1/boy-2-14-sale/sky-wool-sweater-with-teddy-bear.html,Sky wool sweater with teddy bear,€62.50,gloomy sky/ocean blue,"Warm and soft 100% superfine merino wool crewneck sweater with Raglan sleeves, sky blue colour, cute little bear with blue sweater made with jacquard processing and hand-made embroidery. The fur stitching of the bear makes the garment more precious.",100% WIRGIN WOOL fabric -,Code                        A20MA334EM220_4348
43,tienda4sale-1/boy-2-14-sale/blue-and-caramel-sweater-with-eagle.html,Blue and caramel sweater with eagle,€52.00,navy blue/caramel,"Warm crewneck 100% superfine merino wool sweater with blue and caramel stripes, silhouette of an eagle with burgundy inlay work that interrupts the lines. Ideal for going to school and for a everyday cool & glam look.",100% WIRGIN WOOL fabric -,Code                        A20MA329EM220_4916
44,tienda4sale-1/boy-2-14-sale/long-double-breasted-steel-coat.html,Long double-breasted steel coat,€134.00,steel,"Timeless and classic melange grey cloth Picot in with double-breasted closure, two hand-warmer pockets with zip and two patch pockets with closing flap. Regular fit.",10% POLYESTER fabric - 12% POLYAMIDE / NYLON fabric - 34% WOOL fabric - 1% ACRYLIC FIBRE fabric - 41% COTTON fabric - 2% OTHER FIBRES  fabric -  55% VISCOSE / RAYON pocket lining - 45% COTTON pocket lining  -,Code                        A20GP268W0048_074
45,tienda4sale-1/boy-2-14-sale/patchwork-shirt.html,Patchwork shirt,€36.50,white/ light blue,"Funny 100% cotton oxford shirt with French collar, tone-on-tone logo buttons, patch pocket. The characteristic of this shirt is given by a composition of blues and white.",100% COTTON fabric,Code                        A20CL183C0052_0142
46,tienda4sale-1/boy-2-14-sale/tartan-montgomery-jacket.html,Tartan Montgomery jacket,€168.00,navy blue,"Essential, warm and sporty Montgomery of blue and green tartan wool and cotton cloth with hood and double closure: hidden front zip and fastening with frogs. Patch pockets and yoke on the shoulders. Excellent solution to protect yourself from the wind and colder temperatures. Essentially sporty garment suitable for a casual and informal look.",3% POLYESTER fabric - 17% POLYAMIDE / NYLON fabric - 47% WOOL fabric - 2% ACRYLIC FIBRE fabric - 30% COTTON fabric - 1% OTHER FIBRES  fabric -  55% VISCOSE / RAYON lining - 45% COTTON lining  -,Code                        A20GP251W3047_497
47,tienda4sale-1/boy-2-14-sale/caramel-parka-with-fur.html,Caramel parka with fur,€251.00,caramel,"Parka down jacket externally lined with caramel colour nylon and cotton technical material with four pockets, two hand warmers on the chest and two patch pockets with flap and snap button and patch pockets. Hood with real fur Finn raccoon easily removable thanks to automatic buttons. Double front closure with zip and press buttons, cuffs with internal elastic to increase comfort and resistance to cold. Felt logo on the sleeve. Tight fit. Padding made up of 90% down and 10% soft feathers: the ideal composition ratio to respond to the highest quality. Class 1 down jacket, made with new, not regenerated feather. Resistant to snow, rain, wind.",100% POLYESTER internal fabric -  85%  POLYESTER external fabric - 15% COTTON external fabric - 100% FINRACOON / NYCTEREUTES PROCYONOIDES fur - 100% FEATHER padding -  10% DOWNS  padding- 90% POLYAMIDE / NYLON lining -,Code                        A20GP241N0060_150
48,tienda4sale-1/boy-2-14-sale/checked-shirt.html,Checked shirt,€42.00,ocean blue,"100% cotton yarn dyed checked shirt on a white base and shades of blue and green, Italian collar, cuffs and closure with logo buttons and pocket.",100% COTTON fabric,Code                        A20CL176C3119_487
49,tienda4sale-1/boy-2-14-sale/jersey-shirt-with-cloud-micro-stripes.html,Jersey shirt with cloud micro-stripes,€51.00,cloud,"100% cotton jersey shirt with cloud grey micro-stripes, Italian collar and pocket.",100% COTTON fabric,Code                        A20CL049M1061_072
50,tienda4baby-girl-0-36/two-piece-suit-with-floral-pattern.html,two-piece suit with floral pattern,€94.00,blue,"two-piece suit consisting of cotton jersey t-shirt with application on the crewneck of flowers and contrasting polka dots fantasy and solid colour, made of jersey fabric and white and blue tulle",100% COTTON t-shirt fabric -,Code                        P21DP353C4070_495
51,tienda4baby-girl-0-36/vichy-two-piece-suit.html,Vichy two-piece suit,€115.00,pearl pink,"100% damier linen two-piece suit, consisting of a white and pink checked linen top, with ruffles on the sleeves, combined with solid white linen shorts, with ruffles on the edges and elastic waistband. Back closure with buttons.",100% LINEN fabric - 100% COTTON lining,Code                        P21DP354L3016_310
52,tienda4baby-girl-0-36/two-piece-suit-with-turtle-print.html,two-piece suit with turtle print,€94.00,white/aquamarine,"white and aqua green cotton jersey two-piece suit, t-shirt with cap sleeves and turtle water print with applications. Aqua green shorts with small ruffles on the edges and elastic waistband.",100% COTTON t-shirt fabric -,Code                        P21DP358M0014_0153
53,tienda4baby-girl-0-36/il-gufo-exclusive-patterned-two-piece-suit.html,Il Gufo exclusive patterned two-piece suit,€102.00,red clay / pearl pink,"100% cotton fabric two-piece outfit with exclusive Il Gufo pattern, consisting of patterned top with cap sleeves and contrasting pink bow applied on the front. Solid colour pink cotton shorts with practical elastic waistband.",3% ELASTAM / SPANDEX fabric  -  100% COTTON fabric -,Code                        P21DP294C4065_3431
54,tienda4baby-girl-0-36/patterned-romper-with-fake-dungarees.html,patterned romper with fake dungarees,€89.00,red clay,"Short onesie with fake cotton dungarees with exclusive Il Gufo print, with ruffles on the suspenders. Practical opening with snap buttons on the bottom and on the back.",100% COTTON bottom - 100% COTTON top,Code                        P21TO239C4065_341
55,tienda4baby-girl-0-36/cotton-jersey-romper-with-pink-tulle.html,cotton jersey romper with pink tulle,€102.00,marshmallow pink/ marigold,White cotton jersey romper with pink tulle stitched together. Cap sleeves and application of a tulle and stretch cotton satin flower. Practical opening with snap buttons on the back and bottom.,100% COTTON inner fabric - 100% POLYAMIDE/NYLON outer fabric -,Code                        P21TO240H0018_3127
56,tienda4baby-girl-0-36/white-cotton-romper-with-turtle-print.html,white cotton romper with turtle print,€84.00,white/light,"White cotton jersey romper, cap sleeves and turtle water print with seersucker applications. Gathered tulle applied on the collar. Opening with snap buttons on the back and bottom.",100% COTTON fabric,Code                        P21TO241M0014_0120
57,tienda4baby-girl-0-36/striped-jersey-romper-with-applied-flowers.html,striped jersey romper with applied flowers,€89.00,hibiscus/blue,"short playsuit with white and purple stripes, with application of flowers on the front. Practical opening with snap buttons on the back.",100% COTTON fabric,Code                        P21TO242M1078_6249
58,tienda4baby-girl-0-36/white-long-onesie-with-chenille-application.html,white long onesie with chenille application,€97.00,white/pearl grey,"soft cotton jersey footed pyjamas with chenille application of a panda, round collar, back and bottom lacing with press studs.",100% COTTON fabric -  15% POLYAMIDE / NYLON details - 85% COTTON details,Code                        P21TP304M0014_0103
59,tienda4baby-girl-0-36/embossed-cotton-romper-with-flounce-on-the-neck.html,embossed cotton romper with flounce on the neck,€91.00,pearl pink/yellow,"clo clo fabric short baby girl romper, top with flounce, cap sleeves",2% ELASTAM / SPANDEX fabric  -  98% COTTON fabric -,Code                        P21PQ027C0053_3120
60,tienda4baby-girl-0-36/gift-for-birth/striped-jersey-romper-with-applied-flowers.html,striped jersey romper with applied flowers,€89.00,hibiscus/blue,"short playsuit with white and purple stripes, with application of flowers on the front. Practical opening with snap buttons on the back.",100% COTTON fabric,Code                        P21TO242M1078_6249
61,tienda4baby-girl-0-36/gift-for-birth/baby-girl-headband-with-bow-32985.html,baby girl headband with bow,€42.00,white/marine blue,White cotton jersey newborn girl headband with flower applied made of blue Sensitive® Fabrics.,6% ELASTAM / SPANDEX fabric  -  94% COTTON fabric - 3% ELASTAM / SPANDEX application - 97% COTTON application -,Code                        P21PH144M0032_0149
62,tienda4baby-girl-0-36/gift-for-birth/piquet-cotton-hat.html,piquet cotton hat,€68.00,deep blue,"Blue pique cotton cap, with all-round edge. Tone-on-tone embroidered logo and drawstring under the chin.",100% COTTON fabric - 100% COTTON lining,Code                        P21EO279M0098_498
63,tienda4baby-girl-0-36/gift-for-birth/two-piece-suit-with-floral-pattern.html,two-piece suit with floral pattern,€94.00,blue,"two-piece suit consisting of cotton jersey t-shirt with application on the crewneck of flowers and contrasting polka dots fantasy and solid colour, made of jersey fabric and white and blue tulle",100% COTTON t-shirt fabric -,Code                        P21DP353C4070_495
64,tienda4baby-girl-0-36/gift-for-birth/striped-linen-dungarees.html,striped linen dungarees,€71.00,blue,"100% linen dungarees, with white stripes on blue background, gathered at waist and fake contrasting closing bow. Length adjustable suspenders with buttons.",100% LINEN fabric -,Code                        P21ST055L1012_495
65,tienda4baby-girl-0-36/gift-for-birth/white-long-onesie-with-chenille-application.html,white long onesie with chenille application,€97.00,white/pearl grey,"soft cotton jersey footed pyjamas with chenille application of a panda, round collar, back and bottom lacing with press studs.",100% COTTON fabric -  15% POLYAMIDE / NYLON details - 85% COTTON details,Code                        P21TP304M0014_0103
66,tienda4baby-girl-0-36/gift-for-birth/vichy-linen-and-jersey-romper.html,Vichy linen and jersey romper,€97.00,pearl pink,"white cotton jersey short onesie, and bodice with fake heart warmer of pink Vichy linen, cap sleeves and fake closure with contrasting bow. Practical opening with snap buttons on the front and bottom.",100% COTTON fabric - 100% LINEN top,Code                        P21TO165L3016_310
67,tienda4baby-girl-0-36/gift-for-birth/il-gufo-exclusive-patterned-two-piece-suit.html,Il Gufo exclusive patterned two-piece suit,€102.00,red clay / pearl pink,"100% cotton fabric two-piece outfit with exclusive Il Gufo pattern, consisting of patterned top with cap sleeves and contrasting pink bow applied on the front. Solid colour pink cotton shorts with practical elastic waistband.",3% ELASTAM / SPANDEX fabric  -  100% COTTON fabric -,Code                        P21DP294C4065_3431
68,tienda4baby-girl-0-36/gift-for-birth/striped-linen-romper.html,striped linen romper,€84.00,rope,"100% linen faux broken short onesie, with white stripes on a beige background, white cotton jersey bodice, cap sleeves and contrasting decorative bows on the bodice. Practical opening with buttons on the back and bottom.",100% LINEN bottom - 100% COTTON top,Code                        P21TO236L1012_113
69,tienda4baby-girl-0-36/gift-for-birth/baby-girl-headband-with-bow.html,baby girl headband with bow,€29.00,white/ small stripe rope,"White cotton jersey baby girl headband, linen bow applied with white and beige thin stripes",6% ELASTAM / SPANDEX fabric  -  94% COTTON fabric - 100% LINEN application -,Code                        P21PH085M0032_0111
