,url,product_id,name,description,image_url,unit_price,category,type_product,color,talla
327,tienda2shop/articulo/2/00/2010680002,2010680002,CORDON MASCARIL ALLO,,https://www.nanos.es/tweb/ul/1/fotos/medium/2010680002.jpg,7,Niño/Complementos,Colecc.5-Fam.2-Temporada 0,,
328,tienda2shop/articulo/2/00/2010680007,2010680007,CORDON MASCARIL MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/2010680007.jpg,7,Niño/Complementos,Colecc.5-Fam.2-Temporada 0,,
329,tienda2shop/articulo/9/00/1115026001,1115026001,RANITA FELPA BLANCO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115026001.jpg,59.9,Bebé Niña/,Colecc.2-Fam.9-Temporada 11,,
330,tienda2shop/articulo/6/00/1118038786,1118038786,CHAQUETA AZUL,,https://www.nanos.es/tweb/ul/1/fotos/medium/1118038786.jpg,62.91,Bebé Niña/,Colecc.2-Fam.6-Temporada 11,,
331,tienda2shop/articulo/7/00/1112116608,1112116608,MINI AZULON,,https://www.nanos.es/tweb/ul/1/fotos/medium/1112116608.jpg,98.91,Bebé Niña/,Colecc.2-Fam.7-Temporada 11,,
332,tienda2shop/articulo/7/00/1112044003,1112044003,MINI ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1112044003.jpg,107.91,Bebé Niña/,Colecc.2-Fam.7-Temporada 11,,
333,tienda2shop/articulo/6/00/1118275511,1118275511,JERSEY PUNTO VERDE,,https://www.nanos.es/tweb/ul/1/fotos/medium/1118275511.jpg,69.9,Bebé Niño/,Colecc.3-Fam.6-Temporada 11,,
334,tienda2shop/articulo/3/00/1113305901,1113305901,CAMISETA BLANCO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113305901.jpg,35.91,/,Colecc.9-Fam.3-Temporada 11,,
335,tienda2shop/articulo/6/00/1117256006,1117256006,SUDADERA CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117256006.jpg,59.9,Bebé Niño/,Colecc.3-Fam.6-Temporada 11,,
336,tienda2shop/articulo/9/00/1115284505,1115284505,RANITA LONETA TURQUESA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115284505.jpg,59.9,Bebé Niño/,Colecc.3-Fam.9-Temporada 11,,
337,tienda2shop/articulo/6/00/1118327232,1118327232,CHAQUETA PUNTO ARENA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1118327232.jpg,62.91,Bebé Niño/,Colecc.3-Fam.6-Temporada 11,,
338,tienda2shop/articulo/4/00/1183080021,1183080021,PEPITO NIÑO 8349-1.176 ARENA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1183080021.jpg,64.9,Bebé Niño/,Colecc.3-Fam.4-Temporada 11,,
339,tienda2shop/articulo/3/00/1113264707,1113264707,CAMISETA PUNTO MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113264707.jpg,49.9,Bebé Niño/,Colecc.3-Fam.3-Temporada 11,,
340,tienda2shop/articulo/9/00/1115265407,1115265407,PANTALON MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115265407.jpg,49.9,Bebé Niño/,Colecc.3-Fam.9-Temporada 11,,
341,tienda2shop/articulo/6/00/1117536035,1117536035,SUDADERA FELPA PISTACHO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117536035.jpg,79.9,Niña/,Colecc.6-Fam.6-Temporada 11,,
342,tienda2shop/articulo/6/00/1117560003,1117560003,SUDADERA FELPA ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117560003.jpg,89.9,Niña/,Colecc.6-Fam.6-Temporada 11,,
343,tienda2shop/articulo/3/00/1113625901,1113625901,CAMISETA PUNTO BLANCO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113625901.jpg,54.9,"Niña/Camisas, Polos y Camisetas",Colecc.6-Fam.3-Temporada 11,,
344,tienda2shop/articulo/3/00/1113564104,1113564104,CAMISETA ROJO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113564104.jpg,59.9,"Niña/Camisas, Polos y Camisetas",Colecc.6-Fam.3-Temporada 11,,
345,tienda2shop/articulo/9/00/1115571307,1115571307,PETO MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115571307.jpg,89.91,Niña/,Colecc.6-Fam.9-Temporada 11,,
346,tienda2shop/articulo/2/00/1110770021,1110770021,PULSERA TOSTADO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1110770021.jpg,11.9,Niño/Complementos,Colecc.5-Fam.2-Temporada 11,,
347,tienda2shop/articulo/6/00/1118535501,1118535501,JERSEY BLANCO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1118535501.jpg,69.9,Niña/,Colecc.6-Fam.6-Temporada 11,,
348,tienda2shop/articulo/8/00/1114551909,1114551909,FALDA LISTAS GRIS CLARO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1114551909.jpg,69.9,Niña/,Colecc.6-Fam.8-Temporada 11,,
349,tienda2shop/articulo/6/00/1117513407,1117513407,SUDADERA RAYAS FELPA MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117513407.jpg,79.9,Niña/,Colecc.6-Fam.6-Temporada 11,,
350,tienda2shop/articulo/3/00/1113585107,1113585107,CAMISETA PUNTO MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113585107.jpg,59.9,"Niña/Camisas, Polos y Camisetas",Colecc.6-Fam.3-Temporada 11,,
351,tienda2shop/articulo/2/00/1110760021,1110760021,PULSERA TOSTADO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1110760021.jpg,10.9,Niño/Complementos,Colecc.5-Fam.2-Temporada 11,,
352,tienda2shop/articulo/2/00/1110590011,1110590011,PULSERA VERDE,,https://www.nanos.es/tweb/ul/1/fotos/medium/1110590011.jpg,12.9,Niña/Complementos,Colecc.6-Fam.2-Temporada 11,,
353,tienda2shop/articulo/3/00/1113604517,1113604517,CAMISETA CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113604517.jpg,62.91,"Niña/Camisas, Polos y Camisetas",Colecc.6-Fam.3-Temporada 11,,
354,tienda2shop/articulo/9/00/1115531124,1115531124,PETO VERDE KAKI,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115531124.jpg,80.91,Niña/,Colecc.6-Fam.9-Temporada 11,,
355,tienda2shop/articulo/2/00/1110530012,1110530012,GARGANTILLA VERDE BOT.,,https://www.nanos.es/tweb/ul/1/fotos/medium/1110530012.jpg,14.9,Niña/Complementos,Colecc.6-Fam.2-Temporada 11,,
356,tienda2shop/articulo/7/00/1112571817,1112571817,VESTIDO CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1112571817.jpg,139.9,Niña/,Colecc.6-Fam.7-Temporada 11,,
357,tienda2shop/articulo/7/00/1112551611,1112551611,VESTIDO PLUMETI VERDE,,https://www.nanos.es/tweb/ul/1/fotos/medium/1112551611.jpg,139.9,Niña/,Colecc.6-Fam.7-Temporada 11,,
358,tienda2shop/articulo/6/00/1117556099,1117556099,FELPA NARANJA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117556099.jpg,69.9,Niña/,Colecc.6-Fam.6-Temporada 11,,
359,tienda2shop/articulo/3/00/1113565963,1113565963,CAMISETA ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113565963.jpg,54.9,"Niña/Camisas, Polos y Camisetas",Colecc.6-Fam.3-Temporada 11,,
360,tienda2shop/articulo/4/00/1183160043,1183160043,LONETA ROSA 55500.581 ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1183160043.jpg,24.9,Niña/,Colecc.6-Fam.4-Temporada 11,,
361,tienda2shop/articulo/3/00/1113610006,1113610006,CAMISETA CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113610006.jpg,69.9,"Niña/Camisas, Polos y Camisetas",Colecc.6-Fam.3-Temporada 11,,
362,tienda2shop/articulo/0/00/1110520056,1110520056,COLLAR AZUL,,https://www.nanos.es/tweb/ul/1/fotos/medium/1110520056.jpg,9.9,Niña/,Colecc.6-Fam.0-Temporada 11,,
363,tienda2shop/articulo/8/00/1114524111,1114524111,FALDA LONETA VERDE,,https://www.nanos.es/tweb/ul/1/fotos/medium/1114524111.jpg,69.9,Niña/,Colecc.6-Fam.8-Temporada 11,,
364,tienda2shop/articulo/2/00/1110600013,1110600013,PULSERA FUCSIA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1110600013.jpg,11.9,Niña/Complementos,Colecc.6-Fam.2-Temporada 11,,
365,tienda2shop/articulo/9/00/1115512207,1115512207,PANTALON MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115512207.jpg,79.9,Niña/,Colecc.6-Fam.9-Temporada 11,,
366,tienda2shop/articulo/9/00/1115924901,1115924901,PANTALON BLANCO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115924901.jpg,53.91,Niño/,Colecc.5-Fam.9-Temporada 11,,
367,tienda2shop/articulo/6/00/1117796010,1117796010,SUDADERA FELPA GRISOSCURO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117796010.jpg,69.9,Niño/,Colecc.5-Fam.6-Temporada 11,,
368,tienda2shop/articulo/3/00/1113781906,1113781906,CAMISA ALGODON CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113781906.jpg,62.91,Niño/,Colecc.5-Fam.3-Temporada 11,,
369,tienda2shop/articulo/9/00/1115871063,1115871063,PANTALON LONETA ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115871063.jpg,49.41,Niño/,Colecc.5-Fam.9-Temporada 11,,
370,tienda2shop/articulo/6/00/1117756019,1117756019,SUDADERA FLUOR NARANJA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117756019.jpg,79.9,Niño/,Colecc.5-Fam.6-Temporada 11,,
371,tienda2shop/articulo/6/00/1117806002,1117806002,SUDADERA FELPA ALLO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117806002.jpg,71.91,Niño/,Colecc.5-Fam.6-Temporada 11,,
372,tienda2shop/articulo/3/00/1113753708,1113753708,POLO NIÑO AZULON,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113753708.jpg,59.9,Niño/,Colecc.5-Fam.3-Temporada 11,,
373,tienda2shop/articulo/6/00/1117766056,1117766056,SUDADERA FELPA AZUL,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117766056.jpg,79.9,Niño/,Colecc.5-Fam.6-Temporada 11,,
374,tienda2shop/articulo/4/00/1183110023,1183110023,MOCASIN PIEDRA 6801-1.176 PIEDRA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1183110023.jpg,64.9,Niño/,Colecc.5-Fam.4-Temporada 11,,
375,tienda2shop/articulo/6/00/1117776017,1117776017,SUDADERA FELPA CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1117776017.jpg,79.9,Niño/,Colecc.5-Fam.6-Temporada 11,,
376,tienda2shop/articulo/3/00/1113753705,1113753705,POLO NIÑO TURQUESA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1113753705.jpg,59.9,Niño/,Colecc.5-Fam.3-Temporada 11,,
377,tienda2shop/articulo/9/00/1115774595,1115774595,PANTALON LONETA TURQUESA,,https://www.nanos.es/tweb/ul/1/fotos/medium/1115774595.jpg,59.9,Niño/,Colecc.5-Fam.9-Temporada 11,,
378,tienda2shop/articulo/4/00/1183120007,1183120007,DEPORTIVO NIÑO 5500-17.176 MARINO,,https://www.nanos.es/tweb/ul/1/fotos/medium/1183120007.jpg,53.91,Niño/,Colecc.5-Fam.4-Temporada 11,,
