,url,base,price,value,description
121,tienda3catalog/product/view/id/24118/s/camiseta-ni-o-esquiador/category/222/,CAMISETA NIÑO ESQUIADOR,"15,96 €",8434135255585,Camiseta azul con ilustración esquiador. Cuello redondo y manga larga.
122,tienda3catalog/product/view/id/24119/s/polo-manga-larga-tosl35-186/category/222/,POLO MANGA LARGA,"19,96 €",8434135255653,Polo con cuello redondo y manga larga. Detalle letras bordadas. Apertura botonadura delantera.
123,tienda3catalog/product/view/id/25381/s/pantalon-algodon-unisex-bosl35-271/category/223/,PANTALÓN ALGODÓN MOSTAZA,,8434135277716,Pantalón unisex de algodón. Corte pitillo. Cintura elástica con cordón ajustable. Bordado BAP a contraste.
124,tienda3catalog/product/view/id/25152/s/nino-micropana-mostaza-bosl36-204/category/223/,PANTALÓN NIÑO MOSTAZA,"23,96 €",8434135259514,Pantalón largo corte pitillo en color mostaza. Tejido de micropana. Cintura elástica. Cinco bolsillos.
125,tienda3catalog/product/view/id/25154/s/rojo-pitillo-nino-bosl36-206/category/223/,PANTALÓN NIÑO ROJO,"23,96 €",8434135259613,Pantalón largo rojo y corte pitillo. Tejido de micropana. Cintura elástica. Cinco bolsillos.
126,tienda3catalog/product/view/id/25153/s/pitillo-azul-oscuro-bosl36-205/category/223/,PANTALÓN AZUL PITILLO,"23,96 €",8434135259569,Pantalón largo corte pitillo en color azul oscuro para niño. Cierre con botón a presión. Detalle bolsillos delanteros y traseros.
127,tienda3catalog/product/view/id/24179/s/plumas-capucha-ousl36-210/category/224/,PLUMAS CAPUCHA,"75,96 €",8434135260947,Plumas azul capucha desmontable efecto pelo. Cierre con cremallera oculta y botones. Forro interior. Detalle bolsillos delanteros. Relleno 70% plumón y 30% pluma.
128,tienda3catalog/product/view/id/24588/s/plumifero-terracota/category/224/,PLUMAS TERRACOTA,"67,96 €",8434135142786,Plumas color terracota con capucha efecto pelo desmontable. Cierre con cremallera oculta y botones. Detalle bolsillos delanteros.
129,tienda3catalog/product/view/id/24586/s/plumifero-unisex-verde/category/224/,PLUMAS NIÑO VERDE,,8434135220927,Plumas color verde caza con capucha desmontable y forro de borrego. Cierre con cremallera. Detalle alamares frontales y bolsillos con solapa.
130,tienda3catalog/product/view/id/24312/s/botin-de-pana-gris/category/225/,BOTÍN DE PANA GRIS,,8434135230650,Botín de pana gris combinación de ante y pana. Cierra con cordones elásticos. Suela a contraste.
